0.100000	0.100000	0.100000	  24.745215	    438172.795525	    391816.133753	    -83451.975754	
0.100000	0.100000	5.000000	 508.175972	    399436.868827	    441118.919352	     -2370.576985	
0.100000	5.000000	0.100000	 326.742015	    261050.100277	     12345.130396	   -243843.397972	
0.100000	5.000000	5.000000	 810.172772	     25863.489303	     18332.004105	     -9136.278643	
5.000000	0.100000	0.100000	 451.833185	     12865.394090	    130770.386495	    102271.174396	
5.000000	0.100000	5.000000	 935.263943	     14600.609551	     20341.950741	      3616.727918	
5.000000	5.000000	0.100000	 753.829985	     10489.923039	      5638.888769	     -5282.851851	
5.000000	5.000000	5.000000	1237.260743	      8763.455911	      7836.322675	     -1669.039515	
0.100000	2.550000	2.550000	 417.458994	     48843.927859	     34798.073810	    -17098.206273	
5.000000	2.550000	2.550000	 844.546964	     10425.456173	     11217.532733	      -321.635818	
2.550000	0.100000	2.550000	 480.004579	     28063.761594	     38675.958533	      6580.098620	
2.550000	5.000000	2.550000	 782.001379	     14486.166378	      9587.062429	     -5714.936773	
2.550000	2.550000	0.100000	 389.287600	     20366.935988	     11313.163899	     -9936.671687	
2.550000	2.550000	5.000000	 872.718357	     16555.621859	     16164.174818	     -1958.892217	
2.550000	2.550000	2.550000	 631.002979	     17183.246883	     15365.338579	     -3272.626500	
